"","subject","experiment","time","wheel","wheelabs","wheelpos","absdist","absspeed","posdist","posspeed","bothdist","dirspeed","absspeedf","posspeedf","dirspeedf"
"1704","Sample","Hab",170400,0,0,0,0,0,0,0,0,0,0,0,0
"1706","Sample","Hab",170600,0,0,0,0,0,0,0,0,0,0,0,0
"1708","Sample","Hab",170800,0,0,0,0,0,0,0,0,0,0,0,0
"1710","Sample","Hab",171000,0,0,0,0,0,0,0,0,0,0,0,0
"1712","Sample","Hab",171200,0,0,0,0,0,0,0,0,0,0,0,0
"1714","Sample","Hab",171400,0,0,0,0,0,0,0,0,0,0,0,0
"1716","Sample","Hab",171600,0,0,0,0,0,0,0,0,0,0,0,0
"1718","Sample","Hab",171800,0,0,0,0,0,0,0,0,0,0,0,0
"1720","Sample","Hab",172000,0,0,0,0,0,0,0,0,0,0,0,0
"1722","Sample","Hab",172200,0,0,0,0,0,0,0,0,0,0,0,0
"1724","Sample","Hab",172400,0,0,0,0,0,0,0,0,0,0,0,0
"1726","Sample","Hab",172600,0,0,0,0,0,0,0,0,0,0,0,0
"1728","Sample","Hab",172800,0,0,0,0,0,0,0,0,0,0,0,0
"1730","Sample","Hab",173000,0,0,0,0,0,0,0,0,0,0,0,0
"1732","Sample","Hab",173200,0,0,0,0,0,0,0,0,0,0,0,0
"1734","Sample","Hab",173400,0,0,0,0,0,0,0,0,0,0,0,0
"1736","Sample","Hab",173600,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0,0,0
"1738","Sample","Hab",173800,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1740","Sample","Hab",174000,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1742","Sample","Hab",174200,-3,3,0,0.198720703125,0.993603515625,0,0,-0.198720703125,-0.993603515625,0.331201171875,0,0
"1744","Sample","Hab",174400,0,0,0,0,0,0,0,0,0,0.66240234375,0,0
"1746","Sample","Hab",174600,2,2,2,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.66240234375,0,0
"1748","Sample","Hab",174800,-3,3,0,0.198720703125,0.993603515625,0,0,-0.198720703125,-0.993603515625,0.66240234375,0,0
