"","subject","experiment","time","pupilorig","pupilmm","pupilnorm"
"2545","Sample","Hab",508800,56.4908171998084,0.959165992335133,0.400134647468306
"2546","Sample","Hab",509000,56.4908171998084,0.959165992335133,0.400134647468306
"2547","Sample","Hab",509200,56.199042159307,0.954211900499796,0.398067952229006
"2548","Sample","Hab",509400,55.5028186298817,0.94239061758002,0.39313647539233
"2549","Sample","Hab",509600,55.5028186298817,0.94239061758002,0.39313647539233
"2550","Sample","Hab",509800,55.5028186298817,0.94239061758002,0.39313647539233
"2551","Sample","Hab",510000,55.8960379729976,0.949067147326635,0.395921718924547
"2552","Sample","Hab",510200,56.3735073180079,0.957174170393704,0.399303720416344
"2553","Sample","Hab",510400,56.8975599178449,0.966072137477107,0.403015679504295
"2554","Sample","Hab",510600,56.8975599178449,0.966072137477107,0.403015679504295
"2555","Sample","Hab",510800,56.374619134291,0.957193048087837,0.399311595611615
"2556","Sample","Hab",511000,56.3735073180079,0.957174170393704,0.399303720416344
"2557","Sample","Hab",511200,56.0972314836974,0.952483241886911,0.397346808850083
"2558","Sample","Hab",511400,56.0480958906255,0.951648961339665,0.396998772581773
"2559","Sample","Hab",511600,55.8618031813741,0.948485869704756,0.395679227720552
"2560","Sample","Hab",511800,55.3735718629786,0.940196117489957,0.392220997230131
"2561","Sample","Hab",512000,55.1985173855981,0.937223841466483,0.390981054792289
"2562","Sample","Hab",512200,55.1045509437256,0.935628371265617,0.39031547353579
"2563","Sample","Hab",512400,55.0857698777316,0.935309484751063,0.390182443857816
"2564","Sample","Hab",512600,55.0857698777316,0.935309484751063,0.390182443857816
"2565","Sample","Hab",512800,54.5196909623895,0.925697946602241,0.386172804796861
"2566","Sample","Hab",513000,54.5196909623895,0.925697946602241,0.386172804796861
"2567","Sample","Hab",513200,55.0857698777316,0.935309484751063,0.390182443857816
"2568","Sample","Hab",513400,55.119157645434,0.935876380627729,0.3904189354386
"2569","Sample","Hab",513600,55.119157645434,0.935876380627729,0.3904189354386
"2570","Sample","Hab",513800,55.162788634675,0.936617197687321,0.39072798160511
"2571","Sample","Hab",514000,55.4491473972878,0.941479325734326,0.392756312371193
"2572","Sample","Hab",514200,55.4661000143252,0.941767166741934,0.392876390815411
"2573","Sample","Hab",514400,55.4661000143252,0.941767166741934,0.392876390815411
"2574","Sample","Hab",514600,55.5549172793236,0.94327520830234,0.393505499523354
"2575","Sample","Hab",514800,55.4661000143252,0.941767166741934,0.392876390815411
"2576","Sample","Hab",515000,55.0987370786898,0.935529656785941,0.390274292881095
"2577","Sample","Hab",515200,55.0987370786898,0.935529656785941,0.390274292881095
"2578","Sample","Hab",515400,55.7530033099551,0.946638540496073,0.394908578607071
"2579","Sample","Hab",515600,56.0234311414852,0.951230174893345,0.396824067714835
"2580","Sample","Hab",515800,56.3921005602145,0.957489867820221,0.399435419704554
"2581","Sample","Hab",516000,56.5159082869847,0.959592017638415,0.400312372164452
"2582","Sample","Hab",516200,56.5159082869847,0.959592017638415,0.400312372164452
"2583","Sample","Hab",516400,56.5159082869847,0.959592017638415,0.400312372164452
"2584","Sample","Hab",516600,55.6694562455951,0.945219982456628,0.394316799680835
"2585","Sample","Hab",516800,55.2313716195419,0.937781678394061,0.391213767257227
"2586","Sample","Hab",517000,54.9233351850492,0.932551481930086,0.38903188963122
"2587","Sample","Hab",517200,54.2780046607556,0.92159431891846,0.384460897129458
"2588","Sample","Hab",517400,54.9233351850492,0.932551481930086,0.38903188963122
"2589","Sample","Hab",517600,54.3560932671962,0.922920196988549,0.385014012813709
"2590","Sample","Hab",517800,54.3560932671962,0.922920196988549,0.385014012813709
